filename,dimensions,format
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0101\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0102\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0103\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0104\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0105\texture\crest_dummy_d.dds,128x128,BC1_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\sg\0106\texture\crest_dummy_d.dds,128x128,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\wl\0104\texture\opt_wl_m0104_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\wl\0105\texture\opt_wl_m0105_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\opt\wl\0106\texture\opt_wl_m0106_0a_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\r1h0\dor\0001\texture\r1h0_c_dor0001_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\r1h0\dor\0001\texture\r1h0_c_dor0001_0b_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\r1h0\dor\0002\texture\r1h0_co_dor0002_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\r1h0\dor\0002\texture\r1h0_c_dor0002_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\r1h0\dor\0003\texture\r1h0_c_dor0003_0a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\w1h0\dor\0001\texture\w1h0_c_dor0001_1a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\w1h0\dor\0002\texture\w1h0_c_dor0002_1a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\dyna\w1h0\dor\0003\texture\w1h0_c_dor0003_1a_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\indoor\aqa\common\texture\aqa_c0_m0005_0a_n.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\indoor\aqa\common\texture\aqa_c0_m0006_0a_n.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\indoor\aqa\common\texture\aqa_c0_m0007_0a_n.dds,128x128,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\indoor\aqa\common\texture\aqa_c1_m0000_0a_d.dds,256x256,BC7_UNORM
